10001	2025-07-15 08:07:22	0	1
10001	2025-07-15 17:04:34	1	1
10001	2025-07-16 08:03:53	0	1
10001	2025-07-16 17:12:24	1	1
10001	2025-07-17 08:04:41	0	1
10001	2025-07-17 17:02:55	1	1
10001	2025-07-18 08:02:41	0	1
10001	2025-07-18 17:10:49	1	1
10001	2025-07-19 08:01:03	0	1
10001	2025-07-19 17:12:40	1	1
10001	2025-07-20 08:01:39	0	1
10001	2025-07-20 17:15:51	1	1
10001	2025-07-21 08:00:11	0	1
10001	2025-07-21 17:00:14	1	1
10002	2025-07-15 08:03:34	0	1
10002	2025-07-15 17:07:56	1	1
10002	2025-07-16 08:07:15	0	1
10002	2025-07-16 17:04:29	1	1
10002	2025-07-17 08:09:27	0	1
10002	2025-07-17 17:11:34	1	1
10002	2025-07-18 08:00:57	0	1
10002	2025-07-18 17:08:22	1	1
10002	2025-07-19 08:03:15	0	1
10002	2025-07-19 17:00:48	1	1
10002	2025-07-20 08:01:02	0	1
10002	2025-07-20 17:02:13	1	1
10002	2025-07-21 08:11:46	0	1
10002	2025-07-21 17:06:11	1	1
10003	2025-07-15 08:04:11	0	1
10003	2025-07-15 17:02:07	1	1
10003	2025-07-16 08:12:20	0	1
10003	2025-07-16 17:05:33	1	1
10003	2025-07-17 08:07:27	0	1
10003	2025-07-17 17:14:46	1	1
10003	2025-07-18 08:02:07	0	1
10003	2025-07-18 17:02:46	1	1
10003	2025-07-19 08:13:36	0	1
10003	2025-07-19 17:05:38	1	1
10003	2025-07-20 08:04:15	0	1
10003	2025-07-20 17:11:34	1	1
10003	2025-07-21 08:07:33	0	1
10003	2025-07-21 17:05:22	1	1
10004	2025-07-15 08:08:26	0	1
10004	2025-07-15 17:13:21	1	1
10004	2025-07-16 08:11:43	0	1
10004	2025-07-16 17:04:41	1	1
10004	2025-07-17 08:01:49	0	1
10004	2025-07-17 17:02:14	1	1
10004	2025-07-18 08:14:32	0	1
10004	2025-07-18 17:03:45	1	1
10004	2025-07-19 08:00:27	0	1
10004	2025-07-19 17:09:26	1	1
10004	2025-07-20 08:04:28	0	1
10004	2025-07-20 17:15:11	1	1
10004	2025-07-21 08:07:32	0	1
10004	2025-07-21 17:08:56	1	1
10005	2025-07-15 08:13:19	0	1
10005	2025-07-15 17:02:15	1	1
10005	2025-07-16 08:06:25	0	1
10005	2025-07-16 17:11:27	1	1
10005	2025-07-17 08:01:29	0	1
10005	2025-07-17 17:00:53	1	1
10005	2025-07-18 08:12:13	0	1
10005	2025-07-18 17:13:25	1	1
10005	2025-07-19 08:07:41	0	1
10005	2025-07-19 17:07:51	1	1
10005	2025-07-20 08:01:02	0	1
10005	2025-07-20 17:10:05	1	1
10005	2025-07-21 08:07:40	0	1
10005	2025-07-21 17:04:33	1	1
